ranking,score,movie_name,movie_englishname,score_num,
13,9.2,忠犬八公的故事,Hachi: A Dog's Tale,523398,
18,9.1,龙猫,となりのトトロ,468804,
19,9.2,熔炉,???,305212,
22,9.1,触不可及,Intouchables,411588,
23,9,无间道,無間道,453312,
25,9.1,天堂电影院,Nuovo Cinema Paradiso,335684,
27,9.4,十二怒汉,12 Angry Men,189223,
30,9.2,鬼子来了,Devils on the Doorstep,257388,
34,9,天空之城,天空の城ラピュタ,366674,
35,8.9,罗马假日,Roman Holiday,422809,
39,9.1,窃听风暴,Das Leben der Anderen,247165,
42,9.6,控方证人,Witness for the Prosecution,109160,
44,8.9,哈尔的移动城堡,ハウルの動く城,389448,
45,9.3,海豚湾,The Cove,194793,
47,9.1,辩护人,???,234289,
53,8.8,情书,Love Letter,408262,
54,9.1,饮食男女,飲食男女,220935,
60,8.7,七宗罪,Se7en,465845,
61,9.1,素媛,??,203010,
62,8.9,被嫌弃的松子的一生,嫌われ松子の一生,317180,
63,9.2,小鞋子,?????? ?????,151961,
67,8.7,剪刀手爱德华,Edward Scissorhands,520029,
71,8.7,西西里的美丽传说,Malèna,381572,
74,8.7,沉默的羔羊,The Silence of the Lambs,380683,
75,8.8,入殓师,おくりびと,336491,
78,8.9,玛丽和马克思,Mary and Max,243465,
79,8.8,春光乍泄,春光乍洩,267521,
80,9.2,大闹天宫,大闹天宫 上下集  The Monkey King,110416,
82,8.8,阳光灿烂的日子,In the Heat of the Sun,290419,
83,8.8,幽灵公主,もののけ姫,252350,
84,8.8,第六感,The Sixth Sense,250776,
85,8.9,末代皇帝,The Last Emperor,186281,
86,8.7,重庆森林,重慶森林,355743,
87,8.7,禁闭岛,Shutter Island,386383,
88,8.7,大鱼,Big Fish,269700,
90,9,狩猎,Jagten,140984,
92,8.7,射雕英雄传之东成西就,射鵰英雄傳之東成西就,294554,
94,8.8,甜蜜蜜,Comrades: Almost a Love Story,246531,
96,8.9,一一,Yi yi  Yi yi: A One and a Two,165757,
97,8.8,阳光姐妹淘,??,287187,
98,8.7,告白,自白  母亲,365011,
101,8.9,上帝之城,Cidade de Deus,165884,
102,9.2,摩登时代,Modern Times,96645,
104,8.6,阿凡达,Avatar,560928,
105,8.7,爱在黎明破晓前,Before Sunrise,235788,
107,8.8,风之谷,風の谷のナウシカ,187246,
108,8.7,爱在日落黄昏时,Before Sunset,210799,
109,8.8,侧耳倾听,耳をすませば,180217,
110,8.6,倩女幽魂,倩女幽魂(87版)  A Chinese Ghost Story,272147,
111,8.8,超脱,Detachment,183924,
112,8.9,红辣椒,パプリカ,144743,
113,8.7,恐怖直播,? ?? ???,238898,
114,8.7,萤火虫之墓,火垂るの墓,215258,
116,8.6,幸福终点站,The Terminal,237306,
117,8.7,菊次郎的夏天,菊次郎の夏,193677,
118,8.6,岁月神偷,歲月神偷,321417,
119,8.9,小森林 夏秋篇,リトル?フォレスト 夏?秋,141616,
121,8.7,借东西的小人阿莉埃蒂,借りぐらしのアリエッティ,230109,
123,9.2,七武士,七人の侍,81466,
124,8.7,杀人回忆,??? ??,220826,
125,9,海洋,Océans,102234,
127,8.7,电锯惊魂,Saw,209187,
130,8.8,喜宴,囍宴,148195,
133,8.6,东邪西毒,東邪西毒,264464,
137,8.7,英雄本色,A Better Tomorrow  Gangland Boss,177488,
138,8.7,燃情岁月,Legends of the Fall,153878,
140,8.9,虎口脱险,La grande vadrouille,111685,
143,8.7,7号房的礼物,7??? ??,186999,
146,8.7,萤火之森,蛍火の杜へ,167379,
147,8.9,小森林 冬春篇,リトル?フォレスト 冬?春,123408,
150,8.5,猜火车,Trainspotting,257919,
152,8.7,纵横四海,緃横四海,154830,
153,8.6,穿越时空的少女,時をかける少女,193419,
154,8.8,荒蛮故事,Relatos salvajes,149590,
156,8.8,二十二,Twenty Two  22,103423,
157,9,雨中曲,Singin' in the Rain,96813,
158,8.5,花样年华,花樣年華,258866,
160,8.6,超能陆战队,Big Hero 6,389324,
161,8.6,时空恋旅人,About Time,212318,
162,8.8,我是山姆,I Am Sam,109318,
165,8.7,浪潮,Die Welle,138122,
167,8.6,心迷宫,殡棺  The Coffin in the Mountain,175028,
168,8.4,香水,Perfume: The Story of a Murderer,287392,
170,8.7,罗生门,羅生門,130704,
171,8.9,追随,Following,85145,
172,8.7,一次别离,????? ???? ?? ?????,137588,
175,8.8,未麻的部屋,Perfect Blue,103107,
176,8.7,可可西里,Kekexili: Mountain Patrol,134332,
177,8.5,战争之王,Lord of War,181037,
178,8.8,地球上的星星,Taare Zameen Par,89043,
181,8.7,梦之安魂曲,Requiem for a Dream,115779,
185,8.5,阿飞正传,阿飛正傳,190463,
186,8.7,牯岭街少年杀人事件,牯嶺街少年殺人事件,111286,
189,8.5,魔女宅急便,魔女の宅急便,202853,
190,8.7,碧海蓝天,Le grand bleu,110115,
191,8.9,惊魂记,Psycho,86548,
192,9,忠犬八公物语,ハチ公物語,62684,
194,8.5,再次出发之纽约遇见你,Begin Again,177399,
196,8.4,青蛇,Green Snake,229737,
197,8.3,秒速5厘米,秒速5センチメートル,309854,
198,8.9,哪吒闹海,Prince Nezha's Triumph Against Dragon King  Nezha nao hai,83778,
199,8.6,海盗电台,The Boat That Rocked,169044,
200,9.2,东京物语,東京物語,52682,
201,8.7,末路狂花,Thelma & Louise,108461,
202,8.7,绿里奇迹,The Green Mile,110193,
203,8.6,终结者2：审判日,Terminator 2: Judgment Day,145873,
205,8.5,勇闯夺命岛,The Rock,146142,
207,8.5,新龙门客栈,新龍門客棧,190412,
208,8.5,这个男人来自地球,The Man from Earth,188005,
211,9.2,城市之光,City Lights,45878,
213,8.7,一个叫欧维的男人决定去死,En man som heter Ove,123644,
214,8.6,荒野生存,Into the Wild,131278,
215,9.1,迁徙的鸟,Le peuple migrateur,52835,
216,8.5,E.T. 外星人,E.T.: The Extra-Terrestrial,157948,
217,8.4,无耻混蛋,Inglourious Basterds,229885,
218,8.4,发条橙,A Clockwork Orange,190957,
219,8.3,初恋这件小事,???????????????????????...???,476236,
220,8.4,美国丽人,American Beauty,190792,
221,9.1,黄金三镖客,"Il buono, il brutto, il cattivo.",52916,
222,8.4,你的名字。,君の名は。,487539,
224,8.6,燕尾蝶,スワロウテイル,109824,
225,8.8,爱在午夜降临前,Before Midnight,120318,
226,9,无人知晓,誰も知らない,58582,
227,8.6,非常嫌疑犯,The Usual Suspects,119696,
228,8.6,叫我第一名,Front of the Class,111562,
230,8.9,勇士,Warrior,89658,
233,8.6,无敌破坏王,Wreck-It Ralph,189442,
235,8.6,上帝也疯狂,The Gods Must Be Crazy,98499,
237,8.8,步履不停,歩いても 歩いても,75776,
239,8.6,枪火,鎗火,102441,
240,8.3,蓝色大门,藍色大門,277432,
241,8.6,大卫·戈尔的一生,The Life of David Gale,95998,
242,8.5,遗愿清单,The Bucket List,132626,
243,9,我爱你,??? ?????,59215,
245,9,爱·回家,???...,48465,
246,8.5,荒岛余生,Cast Away,138025,
248,8.5,麦兜故事,麥兜故事,130822,
249,8.4,暖暖内含光,Eternal Sunshine of the Spotless Mind,147796,
250,8.5,月球,Moon,147512,
